ProductSKU;LinkFROriginal;LinkENOriginal;Brand
MIL2564-20;;https://www.youtube.com/watch?v=JfBSM-rnAzw;MILWAUKEE      
MIL2565-20;;https://www.youtube.com/watch?v=JfBSM-rnAzw;MILWAUKEE      
MIL2565-22;;https://www.youtube.com/watch?v=JfBSM-rnAzw;MILWAUKEE      
MIL2566-20;;https://assets.edgenet.com/903a543c-cfb9-4519-8bea-f19c6157946b;MILWAUKEE      
MIL2566-22;;https://www.youtube.com/watch?v=8DFlljLCM4o;MILWAUKEE      
MIL2567-20;https://assets.edgenet.com//0979b349-7c10-44d1-953f-37965bb9ba2a;https://www.youtube.com/watch?v=8DFlljLCM4o;MILWAUKEE      
MIL2567-22;https://assets.edgenet.com//0979b349-7c10-44d1-953f-37965bb9ba2a;https://www.youtube.com/watch?v=8DFlljLCM4o;MILWAUKEE      
MIL2568-20;;https://www.youtube.com/watch?v=8DFlljLCM4o;MILWAUKEE      
MIL2569-20;;https://www.youtube.com/watch?v=8DFlljLCM4o;MILWAUKEE      
MIL2569-21;;https://assets.edgenet.com/0979b349-7c10-44d1-953f-37965bb9ba2a;MILWAUKEE      
MIL2571-21;https://milwaukeetool.widen.net/s/77vdbwqwwl/milwaukeer-m12trade-mark-;https://www.youtube.com/watch?v=8DFlljLCM4o;MILWAUKEE      
MIL2572B-21;https://milwaukeetool.widen.net/s/qa47yywkus/milwaukeer-m12trade-mark-;https://www.youtube.com/watch?v=8DFlljLCM4o;MILWAUKEE      
MIL2579-20;;https://assets.edgenet.com/4f091c28-30b6-4781-a56d-13993da19581;MILWAUKEE      
MIL2580-21;https://assets.edgenet.com/5c746302-cb02-45c3-9e12-5ee12b5bae86;https://www.youtube.com/watch?v=8DFlljLCM4o;MILWAUKEE      
MIL2592-20;https://milwaukeetool.widen.net/s/77vdbwqwwl/milwaukeer-m12trade-mark-;https://www.youtube.com/watch?v=8DFlljLCM4o;MILWAUKEE      
MIL2606-20;https://milwaukeetool.widen.net/s/fwhtdrcxft/milwaukeer_m18trade-mark-;https://www.youtube.com/watch?v=KvhkTwwB2Zk;MILWAUKEE      
MIL2606-22CT;https://milwaukeetool.widen.net/s/xd7wxkdjls/2606_m18_1_2_drilldriver;https://www.youtube.com/watch?v=KvhkTwwB2Zk;MILWAUKEE      
MIL2607-20;https://www.youtube.com/embed/_MU11eJPudU;https://www.youtube.com/watch?v=KvhkTwwB2Zk;MILWAUKEE      
MIL2607-22CT;https://milwaukeetool.widen.net/s/fwhtdrcxft/milwaukeer_m18trade-mark-;https://www.youtube.com/watch?v=KvhkTwwB2Zk;MILWAUKEE      
