"VideoID";"Link";"DownloadableLink"
"0043-EDGENET";"https://assets.edgenet.com//52e5085f-13ba-46b7-af51-ef3432745035";"https://assets.edgenet.com//52e5085f-13ba-46b7-af51-ef3432745035"
"0044-WIDENNET";"https://milwaukeetool.widen.net/s/lhtsz7c8pr/2415_m12_rightangle_drill";"https://previews.us-east-1.widencdn.net/seeds/37973549/assets/asset-view/0/a/5/a/0a5a0f85-8709-4da1-81aa-a2fccecec5ca/video_legacy_hd?Expires=1763913600&Signature=InN8diGRcGANr8~Ad5dyAhtD~QcN4jx3UJBFEIYgROCeUXzYo3Asddb8tmXMaloKa-WS7b3F1StRDTJ-dSDi5PQbuA-6gBF7gPhp3qKDjHvJ0cDB7bSH1Qa2PP5EN1ygX0lpvVyfJFdHXSrX9wdiHTOfAU0jqg8krWdLEDTqv23mwFsHTlCQmzKpQqCg~MRe4FZx7~rKsN~PhqMBjfxPaCKdzuuQ4W9EVn-ikrWiMcFETGI9wawVW3aDdiIUiIg9VCaWyExr8oXqXHGrnARPN-veFtTofRqXTZxT~s-KuuP~G-IPsNFUUKhaUQJsjAIJ7J9oUitC2lxaBIc3iGo3Yg__&Key-Pair-Id=APKAJM7FVRD2EPOYUXBQ"
"0045-EDGENET";"https://assets.edgenet.com//a536b01d-5e78-4e86-afdf-c0d86456c9a8";"https://assets.edgenet.com//a536b01d-5e78-4e86-afdf-c0d86456c9a8"
"0046-WIDENNET";"https://milwaukeetool.widen.net/s/qa47yywkus/milwaukeer-m12trade-mark-";"https://previews.us-east-1.widencdn.net/seeds/37973549/assets/asset-view/0/a/5/a/0a5a0f85-8709-4da1-81aa-a2fccecec5ca/video_legacy_hd?Expires=1763913600&Signature=InN8diGRcGANr8~Ad5dyAhtD~QcN4jx3UJBFEIYgROCeUXzYo3Asddb8tmXMaloKa-WS7b3F1StRDTJ-dSDi5PQbuA-6gBF7gPhp3qKDjHvJ0cDB7bSH1Qa2PP5EN1ygX0lpvVyfJFdHXSrX9wdiHTOfAU0jqg8krWdLEDTqv23mwFsHTlCQmzKpQqCg~MRe4FZx7~rKsN~PhqMBjfxPaCKdzuuQ4W9EVn-ikrWiMcFETGI9wawVW3aDdiIUiIg9VCaWyExr8oXqXHGrnARPN-veFtTofRqXTZxT~s-KuuP~G-IPsNFUUKhaUQJsjAIJ7J9oUitC2lxaBIc3iGo3Yg__&Key-Pair-Id=APKAJM7FVRD2EPOYUXBQ"
"0047-YOUTUBE";"https://www.youtube.com/embed/8DFlljLCM4o";"https://www.youtube.com/watch?v=8DFlljLCM4o"
"0048-WIDENNET";"https://milwaukeetool.widen.net/s/sxxqgp5jw8/2446_m12_greasegun";"https://previews.us-east-1.widencdn.net/seeds/37973549/assets/asset-view/0/a/5/a/0a5a0f85-8709-4da1-81aa-a2fccecec5ca/video_legacy_hd?Expires=1763913600&Signature=InN8diGRcGANr8~Ad5dyAhtD~QcN4jx3UJBFEIYgROCeUXzYo3Asddb8tmXMaloKa-WS7b3F1StRDTJ-dSDi5PQbuA-6gBF7gPhp3qKDjHvJ0cDB7bSH1Qa2PP5EN1ygX0lpvVyfJFdHXSrX9wdiHTOfAU0jqg8krWdLEDTqv23mwFsHTlCQmzKpQqCg~MRe4FZx7~rKsN~PhqMBjfxPaCKdzuuQ4W9EVn-ikrWiMcFETGI9wawVW3aDdiIUiIg9VCaWyExr8oXqXHGrnARPN-veFtTofRqXTZxT~s-KuuP~G-IPsNFUUKhaUQJsjAIJ7J9oUitC2lxaBIc3iGo3Yg__&Key-Pair-Id=APKAJM7FVRD2EPOYUXBQ"
"0049-WIDENNET";"https://milwaukeetool.widen.net/s/vrbhc6srlj/2452_2454_m12_fuel-impact";"https://previews.us-east-1.widencdn.net/seeds/37973549/assets/asset-view/0/a/5/a/0a5a0f85-8709-4da1-81aa-a2fccecec5ca/video_legacy_hd?Expires=1763913600&Signature=InN8diGRcGANr8~Ad5dyAhtD~QcN4jx3UJBFEIYgROCeUXzYo3Asddb8tmXMaloKa-WS7b3F1StRDTJ-dSDi5PQbuA-6gBF7gPhp3qKDjHvJ0cDB7bSH1Qa2PP5EN1ygX0lpvVyfJFdHXSrX9wdiHTOfAU0jqg8krWdLEDTqv23mwFsHTlCQmzKpQqCg~MRe4FZx7~rKsN~PhqMBjfxPaCKdzuuQ4W9EVn-ikrWiMcFETGI9wawVW3aDdiIUiIg9VCaWyExr8oXqXHGrnARPN-veFtTofRqXTZxT~s-KuuP~G-IPsNFUUKhaUQJsjAIJ7J9oUitC2lxaBIc3iGo3Yg__&Key-Pair-Id=APKAJM7FVRD2EPOYUXBQ"
"0050-WIDENNET";"https://milwaukeetool.widen.net/s/kw6cfd5lxf/2456_m12_ratchet";"https://previews.us-east-1.widencdn.net/seeds/37973549/assets/asset-view/0/a/5/a/0a5a0f85-8709-4da1-81aa-a2fccecec5ca/video_legacy_hd?Expires=1763913600&Signature=InN8diGRcGANr8~Ad5dyAhtD~QcN4jx3UJBFEIYgROCeUXzYo3Asddb8tmXMaloKa-WS7b3F1StRDTJ-dSDi5PQbuA-6gBF7gPhp3qKDjHvJ0cDB7bSH1Qa2PP5EN1ygX0lpvVyfJFdHXSrX9wdiHTOfAU0jqg8krWdLEDTqv23mwFsHTlCQmzKpQqCg~MRe4FZx7~rKsN~PhqMBjfxPaCKdzuuQ4W9EVn-ikrWiMcFETGI9wawVW3aDdiIUiIg9VCaWyExr8oXqXHGrnARPN-veFtTofRqXTZxT~s-KuuP~G-IPsNFUUKhaUQJsjAIJ7J9oUitC2lxaBIc3iGo3Yg__&Key-Pair-Id=APKAJM7FVRD2EPOYUXBQ"
"0051-YOUTUBE";"https://www.youtube.com/embed/C7Klzgnm7AQ";"https://www.youtube.com/watch?v=C7Klzgnm7AQ"
"0052-WIDENNET";"https://milwaukeetool.widen.net/s/svhmpzzs29/2460_m12_rotary_tool";"https://previews.us-east-1.widencdn.net/seeds/37973549/assets/asset-view/0/a/5/a/0a5a0f85-8709-4da1-81aa-a2fccecec5ca/video_legacy_hd?Expires=1763913600&Signature=InN8diGRcGANr8~Ad5dyAhtD~QcN4jx3UJBFEIYgROCeUXzYo3Asddb8tmXMaloKa-WS7b3F1StRDTJ-dSDi5PQbuA-6gBF7gPhp3qKDjHvJ0cDB7bSH1Qa2PP5EN1ygX0lpvVyfJFdHXSrX9wdiHTOfAU0jqg8krWdLEDTqv23mwFsHTlCQmzKpQqCg~MRe4FZx7~rKsN~PhqMBjfxPaCKdzuuQ4W9EVn-ikrWiMcFETGI9wawVW3aDdiIUiIg9VCaWyExr8oXqXHGrnARPN-veFtTofRqXTZxT~s-KuuP~G-IPsNFUUKhaUQJsjAIJ7J9oUitC2lxaBIc3iGo3Yg__&Key-Pair-Id=APKAJM7FVRD2EPOYUXBQ"
