"VideoID";"APIStatus";"Privacy";"FinalStatus"
"4LA3I7efF1M";"processed";"public";"public"
"Iqn53-24U-Y";"processed";"public";"public"
"EuO88jo2qMU";"processed";"public";"public"
"tDzj972Ypio";"processed";"public";"public"
"yWgLkOWoJpE";"processed";"public";"public"
"yWgLkOWoJpE";"processed";"public";"public"
"EDcDngaAVxc";"processed";"public";"public"
"6ktPFR4wD-s";"processed";"public";"public"
"A53bmMrBLDA";"processed";"public";"public"
"0axbpDOdeJo";"processed";"public";"public"
"yWgLkOWoJpE";"processed";"public";"public"
"mDRQYGocC34";"processed";"public";"public"
"GVjJ3b9KVl0";"processed";"public";"public"
"PJB4fPLluII";"processed";"public";"public"
"8xaEb_ZHb7s";"processed";"public";"public"
"61VuPyViuAA";"processed";"public";"public"
"3fTI3lEKsbc";"processed";"public";"public"
"https://www.youtube.com/watch?v=rhzxLymECWU";"not_found";"";"deleted_or_unavailable"
"EA8GlnNQKcw";"processed";"public";"public"
"FUCQo_wYR4s";"processed";"public";"public"
"gt70f5jx2YU";"processed";"public";"public"
"1csnNAU01aM";"processed";"public";"public"
"JrP2Tc5TBng";"processed";"public";"public"
"FMHZsg1y328";"processed";"public";"public"
"dqHZypSHyOs";"processed";"public";"public"
"39alLJKo3_s";"processed";"public";"public"
"rQ_vj6Z7qNk";"processed";"public";"public"
"NrJ5ocCWQqc";"processed";"public";"public"
"4-k6GjnCMcs";"processed";"public";"public"
"MVnucmmI2bo";"processed";"public";"public"
"oTDaevFtDh0";"processed";"public";"public"
"a8Qkh6pYU2s";"processed";"public";"public"
"gPZ9HqKGO2o";"processed";"public";"public"
"9hyY_lCeN0M";"processed";"public";"public"
"QB1KtvE4or4";"processed";"public";"public"
"5rX6sWzUIwU";"processed";"public";"public"
"zFlaFJwKwas";"processed";"public";"public"
"BzuNbEQcmGI";"processed";"public";"public"
"8LfQvx7P3ew";"processed";"public";"public"
"KP6NFiax2rk";"processed";"public";"public"
"tN47Y9S6v-0";"processed";"public";"public"
"Bv8BK6Ldnd4";"processed";"public";"public"
"-fdaF5ZTYIo";"processed";"public";"public"
"CF8vm2PzhnM";"processed";"public";"public"
"2hZb2H_DkFE";"processed";"public";"public"
"qPmHIgwzO8o";"processed";"public";"public"
"ZrzhFp0Pis4";"processed";"public";"public"
"zkHzZKuRUwk";"processed";"public";"public"
"Yig_0fsIgWE";"processed";"public";"public"
"7Hmc_gsgaZQ";"processed";"public";"public"
"P1S1u497fyo";"processed";"public";"public"
"dzLESZEljV8";"processed";"public";"public"
"ggAG5yBbC_Q";"processed";"public";"public"
"KZm7juR_yFU";"processed";"public";"public"
"M3sEQ9Nq_Tw";"processed";"public";"public"
"VEiQ3b-h3x8";"processed";"public";"public"
"cA65G7Bnah0";"processed";"public";"public"
"pmTVINUPwC8";"processed";"public";"public"
"DO69GrCaGyE";"processed";"public";"public"
"e1uzD5dgx9M";"processed";"public";"public"
"XYw-tSGfgi4";"processed";"public";"public"
"ejM2dofOSDk";"processed";"public";"public"
"5P4Fi_Hck5Y";"processed";"public";"public"
"LWGnSsF6MmY";"processed";"public";"public"
"Bh91_VkdaB0";"processed";"public";"public"
"zKc_dGNq0iw";"processed";"public";"public"
"WEuYmx9Sa34";"processed";"public";"public"
"https://www.youtube.com/watch?v=DJlBbhwz_FQ";"not_found";"";"deleted_or_unavailable"
"sUV6QFw6r2I";"processed";"public";"public"
"0MdlG9wbjvs";"processed";"public";"public"
"1AB26oYDpik";"processed";"public";"public"
"fEb_jYbRc2E";"processed";"public";"public"
"6Gz3MzSD_lU";"processed";"public";"public"
"kNVS9V_NM2s";"processed";"public";"public"
"AvevXPSeVCk";"processed";"public";"public"
"5mQ479DR6rM";"processed";"public";"public"
"PPAyiKnxqEY";"processed";"public";"public"
"uZ8osKYNxpI";"processed";"public";"public"
"gPPm01HLFXE";"processed";"public";"public"
"8k3CIHmEMww";"processed";"public";"public"
"ksYb7evEMow";"processed";"public";"public"
"NZNDOH9C5K0";"processed";"public";"public"
"1K7BHaMS5AY";"processed";"public";"public"
"44cdrImU26U";"processed";"public";"public"
"phnF0C3_tek";"processed";"public";"public"
"8lODTGjjxF0";"processed";"public";"public"
"YOxSmppzVPQ";"processed";"public";"public"
"vzCGx6Q4ajI";"processed";"public";"public"
"l1NJKstPkEQ";"processed";"public";"public"
"yosIMJJOcF8";"processed";"public";"public"
"yosIMJJOcF8";"processed";"public";"public"
"fUF6VwXoQjM";"processed";"public";"public"
"HPDaMvf41j0";"processed";"public";"public"
"nKQLWNUYu9w";"processed";"public";"public"
"7mgN6GiDrt8";"processed";"public";"public"
"v6hmt6gL1fo";"processed";"public";"public"
"33jK01B_pPI";"processed";"public";"public"
